model,class,categories,caption,image_url,question_1,question_2
none_with_emb_without_multires,n02089078,['relation'],Flowered leash going to the dog,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n02089078_57197.jpg,is there the dog ?,is there flowered leash ?
none_with_emb_without_multires,n02090721,['relation'],man's hand resting on dog's hip,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n02090721_88035.jpg,is there man's hand ?,is there dog's hip ?
none_with_emb_without_multires,n02088632,"['attribute', 'counting']",the dog has two ears,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n02088632_12114.jpg,is there the dog ?,are there two ears ?
none_with_emb_without_multires,n02814533,['relation'],seat buckle part in car,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n02814533_1236.jpg,is there car ?,is there seat buckle part ?
none_with_emb_without_multires,n02090379,"['relation', 'action']",A dog is laying on the bed,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n02090379_49770.jpg,is a dog  laying on the bed?,is there a dog ?
none_with_emb_without_multires,n03670208,"['relation', 'counting']",Three bicycles lined up behind a green car.,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n03670208_48107.jpg,is there a green car ?,are there three bicycles ?
none_with_emb_without_multires,n02088466,"['attribute', 'action']",dog is wearing a bow tie ,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n02088466_13507.jpg,is dog  wearing a bow tie ?,is there a bow tie ?
none_with_emb_without_multires,n01537544,"['relation', 'counting', 'action']",The birds are out in the forest,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n01537544_14416.jpg,is there the forest ?,are there the birds ?
none_with_emb_without_multires,n02088632,"['relation', 'action']",dog has cast a shadow,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n02088632_45516.jpg,is there dog ?,is there a shadow ?
none_with_emb_without_multires,n02089078,"['relation', 'action']",the dog looks up at the woman,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n02089078_7388.jpg,is there the woman ?,is there the dog ?
none_with_emb_without_multires,n01560419,['attribute'],the bird has a long beak,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n01560419_52075.jpg,is there the bird ?,is there a long beak ?
none_with_emb_without_multires,n02486410,"['attribute', 'relation']",stuffed monkey holding a rattle ,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n02486410_948.jpg,is there stuffed monkey ?,is there a rattle ?
none_with_emb_without_multires,n03417042,['attribute'],the truck has words on it,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n03417042_18049.jpg,is there the truck ?,are there words ?
none_with_emb_without_multires,n02951358,['attribute'],the boat has silver handles,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n02951358_22110.jpg,is there the boat ?,are there silver handles ?
none_with_emb_without_multires,n01531178,['attribute'],The bird has a pointy beak.,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n01531178_84875.jpg,is there the bird ?,is there a pointy beak ?
none_with_emb_without_multires,n01531178,['attribute'],the feathers on the birds chest,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n01531178_95612.jpg,are there the birds ?,are there the feathers ?
none_with_emb_without_multires,n02951358,['attribute'],The boat has a red stripe.,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n02951358_96801.jpg,is there a red stripe ?,is there the boat ?
none_with_emb_without_multires,n03662601,"['attribute', 'relation']",a blue box is on the boat,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n03662601_19051.jpg,is there a blue box ?,is there the boat ?
none_with_emb_without_multires,n02089078,"['attribute', 'relation']",The dog has a chain collar.,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n02089078_4251.jpg,is there the dog ?,is there a chain collar ?
none_with_emb_without_multires,n02123159,"['attribute', 'relation']",an orange cat in a bathroom sink,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n02123159_77431.jpg,is there a bathroom ?,is there an orange cat ?
none_with_emb_without_multires,n02123159,['attribute'],this is foot of a cat,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n02123159_49419.jpg,is there a cat ?,is there foot ?
none_with_emb_without_multires,n02090622,['relation'],the dog is on the couch,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n02090622_19904.jpg,is there the dog ?,is there the couch ?
none_with_emb_without_multires,n01580077,['relation'],the pool of bird feeding ,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n01580077_72258.jpg,is there bird feeding ?,is there the pool ?
none_with_emb_without_multires,n02123045,"['relation', 'action']",the cat is inside a box,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n02123045_92822.jpg,is the cat  inside a box?,is there the cat ?
none_with_emb_without_multires,n03594945,"['relation', 'action']",the cat is sitting on the car,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n03594945_78108.jpg,is there the cat ?,is there the car ?
none_with_emb_without_multires,n02089973,"['attribute', 'relation']",dog has a red collar on,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n02089973_69529.jpg,is there dog ?,is there a red collar ?
none_with_emb_without_multires,n02930766,"['relation', 'action']",rain drops on car windshield,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n02930766_94620.jpg,is there car windshield ?,is there rain ?
none_with_emb_without_multires,n01580077,"['attribute', 'relation']",the claw on the birds foot,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n01580077_28864.jpg,are there the birds ?,is there the claw ?
none_with_emb_without_multires,n03658185,"['attribute', 'action']",long knife used to cut brownies,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n03658185_98635.jpg,are there brownies ?,is there long knife ?
none_with_emb_without_multires,n01532829,"['relation', 'action']",The birds are watching for predators,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n01532829_49424.jpg,are there predators ?,are the birds  watching for predators?
none_with_emb_without_multires,n01560419,['relation'],the bird is near a pond,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n01560419_27970.jpg,is there a pond ?,is there the bird ?
none_with_emb_without_multires,n04612504,['relation'],the buskets are in the boat ,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n04612504_32979.jpg,are there the buskets ?,is there the boat ?
none_with_emb_without_multires,n03447447,['relation'],dog is on a boat,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n03447447_55056.jpg,is there a boat ?,is there dog ?
none_with_emb_without_multires,n02090721,"['relation', 'action']",the dog is looking through the window,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n02090721_6116.jpg,is there the window ?,is the dog  looking through the window?
none_with_emb_without_multires,n02088094,"['attribute', 'action']",the dog is wearing a metal collar,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n02088094_39173.jpg,is the dog  wearing a metal collar?,is there a metal collar ?
none_with_emb_without_multires,n02930766,['attribute'],the car has a headlamp,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n02930766_88729.jpg,is there the car ?,is there a headlamp ?
none_with_emb_without_multires,n02088094,['attribute'],dog has a large pink tounge,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n02088094_3618.jpg,is there dog ?,is there a large pink tounge ?
none_with_emb_without_multires,n02088632,['attribute'],The dog has a tail,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n02088632_83228.jpg,is there a tail ?,is there the dog ?
none_with_emb_without_multires,n01534433,"['relation', 'action']",bird stands on one leg,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n01534433_75971.jpg,is there bird ?,is there one leg ?
none_with_emb_without_multires,n04273569,['relation'],white boat docked at the pier,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n04273569_70201.jpg,is there the pier ?,is there white boat ?
none_with_emb_without_multires,n04273569,['relation'],The dog is on the boat ,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n04273569_9693.jpg,is there the dog ?,is there the boat ?
none_with_emb_without_multires,n03930630,['relation'],old truck is beside a road,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n03930630_7435.jpg,is there a road ?,is there old truck ?
none_with_emb_without_multires,n02090622,['attribute'],eyes of dog are black,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n02090622_33920.jpg,is there dog ?,are there eyes ?
none_with_emb_without_multires,n02088466,['attribute'],The rear left paw of the dog,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n02088466_11661.jpg,is there the dog ?,is there the rear left paw ?
none_with_emb_without_multires,n02090721,"['attribute', 'action']",White dog curled up sleeping on its bed,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n02090721_50566.jpg,is there its bed ?,is there white dog ?
none_with_emb_without_multires,n03796401,['attribute'],A flap is visible on a truck.,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n03796401_71941.jpg,is there a truck ?,is there a flap ?
none_with_emb_without_multires,n02089867,['relation'],the dog has the frisbee,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n02089867_11787.jpg,is there the dog ?,is there the frisbee ?
none_with_emb_without_multires,n02090379,"['relation', 'action']",German shepherd dog fetching a frisbee. ,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n02090379_15253.jpg,is there a frisbee ?,is there german shepherd dog ?
none_with_emb_without_multires,n04461696,['relation'],man standing behind the truck,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n04461696_39045.jpg,is there the truck ?,is there man ?
none_with_emb_without_multires,n03345487,"['attribute', 'relation']",Honda emblem on the back of a gry truck,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n03345487_72251.jpg,is there a gry truck ?,is there the back ?
none_with_emb_without_multires,n02123159,['relation'],The cat is next to a book,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n02123159_82844.jpg,is there the cat ?,is there a book ?
none_with_emb_without_multires,n02088632,['attribute'],dog has black and white tail,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n02088632_59297.jpg,is there black and white tail ?,is there dog ?
none_with_emb_without_multires,n04612504,"['relation', 'action']",Police officer driving the boat,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n04612504_31255.jpg,is there the boat ?,is there police officer ?
none_with_emb_without_multires,n02088238,"['counting', 'action']",The two dogs are waring party hats.,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n02088238_30550.jpg,are the two dogs  waring party hats.?,are there the two dogs ?
none_with_emb_without_multires,n01531178,['attribute'],The birds claws are black.,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n01531178_91346.jpg,are there the birds ?,are there claws ?
none_with_emb_without_multires,n02090721,"['relation', 'action']",The dog is standing in the sand.,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n02090721_86593.jpg,is there the sand ?,is there the dog ?
none_with_emb_without_multires,n02930766,['attribute'],The left headlight on the car. ,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n02930766_2926.jpg,is there the car ?,is there the left headlight ?
none_with_emb_without_multires,n02089078,['relation'],the dogs head is in the box,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n02089078_93393.jpg,is there the box ?,are there the dogs ?
none_with_emb_without_multires,n03670208,['relation'],The dog is in the car.,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n03670208_38601.jpg,is there the dog ?,is there the car ?
none_with_emb_without_multires,n04612504,"['relation', 'action']",person climbing into or out of the boat,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n04612504_43450.jpg,is there person ?,is there the boat ?
none_with_emb_without_multires,n02088466,"['attribute', 'action']",the dog is wearing a collar.,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n02088466_99558.jpg,is there a collar ?,is there the dog ?
none_with_emb_without_multires,n04273569,"['relation', 'action']",Man kneeling down on boat. ,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n04273569_49431.jpg,is there man ?,is there boat ?
none_with_emb_without_multires,n02089078,['attribute'],dog has black ear,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n02089078_87239.jpg,is there black ear ?,is there dog ?
none_with_emb_without_multires,n01582220,['attribute'],bird has orange beak,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n01582220_93802.jpg,is there orange beak ?,is there bird ?
none_with_emb_without_multires,n03670208,['relation'],the bananas are in the car,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n03670208_10270.jpg,is there the car ?,are there the bananas ?
none_with_emb_without_multires,n02123159,['attribute'],the cat has a red collar,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n02123159_45012.jpg,is there the cat ?,is there a red collar ?
none_with_emb_without_multires,n03259280,['relation'],a window is on the oven,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n03259280_97603.jpg,is there the oven ?,is there a window ?
none_with_emb_without_multires,n03670208,['attribute'],a car having bags,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n03670208_5924.jpg,is there a car ?,are there bags ?
none_with_emb_without_multires,n02089078,"['relation', 'action']",the dog walking and connected to a chain,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n02089078_31500.jpg,is there the dog ?,is there a chain ?
none_with_emb_without_multires,n02930766,['relation'],front door handle on car,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n02930766_24403.jpg,is there front door ?,is there car ?
none_with_emb_without_multires,n03417042,['relation'],green hedges are behind the truck,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n03417042_74730.jpg,are there green hedges ?,is there the truck ?
none_with_emb_without_multires,n03344393,"['attribute', 'relation']",The boat has wood panels.,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n03344393_44140.jpg,are there wood panels ?,is there the boat ?
none_with_emb_without_multires,n03417042,['attribute'],the truck has No2 painted on it,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n03417042_39362.jpg,is there the truck ?,are there no2 ?
none_with_emb_without_multires,n02088466,"['attribute', 'relation']",green blanket the dog is laying on,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n02088466_17443.jpg,is there the dog ?,is there green blanket ?
none_with_emb_without_multires,n02814533,['attribute'],This car has a clear windshield,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n02814533_68369.jpg,is there a clear windshield ?,is there this car ?
none_with_emb_without_multires,n02088632,['attribute'],the dog has pretty blue eyes,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n02088632_97780.jpg,is there the dog ?,are there pretty blue eyes ?
none_with_emb_without_multires,n02123045,"['attribute', 'relation']",grey striped cat on bench,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n02123045_58644.jpg,is there grey striped cat ?,is there bench ?
none_with_emb_without_multires,n02089078,"['relation', 'action']",head of dog bowed down ,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n02089078_70046.jpg,is there head ?,is there dog ?
none_with_emb_without_multires,n02088238,"['relation', 'action']",The dog is staring at his master.,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n02088238_13702.jpg,is the dog  staring at h master.?,is there his master ?
none_with_emb_without_multires,n02090721,"['attribute', 'relation', 'action']",brown white and black dog catching yellow Frisbee,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n02090721_41269.jpg,is there brown white and black dog ?,is there yellow frisbee ?
none_with_emb_without_multires,n04461696,['attribute'],The truck has a windsheild ,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n04461696_38427.jpg,is there the truck ?,is there a windsheild ?
none_with_emb_without_multires,n02090721,['attribute'],White left foot of the dog,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n02090721_29701.jpg,is there the dog ?,is there white left foot ?
none_with_emb_without_multires,n02701002,"['relation', 'action']",the tabby cat is laying on the car,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n02701002_96552.jpg,is the tabby cat  laying on the car?,is there the tabby cat ?
none_with_emb_without_multires,n03930630,['attribute'],Rear left tire on a tow truck,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n03930630_3187.jpg,is there rear left tire ?,is there a tow truck ?
none_with_emb_without_multires,n02090622,"['relation', 'action']",The dog is sitting on blankets,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n02090622_21913.jpg,is there the dog ?,is the dog  sitting on blankets?
none_with_emb_without_multires,n02088094,"['attribute', 'action']",the dog is wearing a hat,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n02088094_9044.jpg,is the dog  wearing a hat?,is there the dog ?
none_with_emb_without_multires,n02088094,['attribute'],the dog has sharp teeth,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n02088094_56073.jpg,is there the dog ?,are there sharp teeth ?
none_with_emb_without_multires,n01580077,['attribute'],the bird has black eyes,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n01580077_67482.jpg,is there the bird ?,are there black eyes ?
none_with_emb_without_multires,n02088466,['attribute'],Tongue of dog is pink,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n02088466_8816.jpg,is there dog ?,is there tongue ?
none_with_emb_without_multires,n02088238,['attribute'],dog has white ears,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n02088238_45651.jpg,is there dog ?,are there white ears ?
none_with_emb_without_multires,n02088238,['attribute'],the dog wears a red collar,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n02088238_87457.jpg,is there the dog ?,is there a red collar ?
